Date,"Arme nucléaire"
2015-12-20,350
2015-12-21,354
2015-12-22,378
2015-12-23,397
2015-12-24,356
2015-12-25,339
2015-12-26,323
2015-12-27,433
2015-12-28,401
2015-12-29,431
2015-12-30,400
2015-12-31,332
2016-01-01,347
2016-01-02,529
2016-01-03,657
2016-01-04,641
2016-01-05,563
2016-01-06,3873
2016-01-07,1535
2016-01-08,1071
2016-01-09,781
2016-01-10,860
2016-01-11,865
2016-01-12,716
2016-01-13,711
2016-01-14,620
2016-01-15,524
2016-01-16,468
2016-01-17,741
2016-01-18,561
2016-01-19,504
2016-01-20,539
2016-01-21,512
2016-01-22,469
2016-01-23,475
2016-01-24,543
2016-01-25,462
2016-01-26,474
2016-01-27,571
2016-01-28,532
2016-01-29,468
2016-01-30,407
2016-01-31,588
2016-02-01,513
2016-02-02,500
2016-02-03,486
2016-02-04,498
2016-02-05,429
2016-02-06,415
2016-02-07,692
2016-02-08,560
2016-02-09,476
2016-02-10,1038
2016-02-11,486
2016-02-12,399
2016-02-13,428
2016-02-14,599
2016-02-15,563
2016-02-16,448
2016-02-17,417
2016-02-18,457
2016-02-19,400
2016-02-20,361
2016-02-21,448
2016-02-22,559
2016-02-23,633
2016-02-24,541
2016-02-25,403
2016-02-26,387
2016-02-27,399
2016-02-28,499
2016-02-29,482
2016-03-01,415
2016-03-02,461
2016-03-03,476
2016-03-04,499
2016-03-05,447
2016-03-06,529
2016-03-07,837
2016-03-08,553
2016-03-09,551
2016-03-10,537
2016-03-11,509
2016-03-12,460
2016-03-13,479
2016-03-14,605
2016-03-15,537
2016-03-16,473
2016-03-17,446
