Date,"Ядерное оружие"
2015-12-20,2199
2015-12-21,2297
2015-12-22,2126
2015-12-23,2793
2015-12-24,2308
2015-12-25,1798
2015-12-26,1395
2015-12-27,1480
2015-12-28,1481
2015-12-29,1276
2015-12-30,1105
2015-12-31,665
2016-01-01,882
2016-01-02,1018
2016-01-03,1209
2016-01-04,1154
2016-01-05,1210
2016-01-06,5849
2016-01-07,3075
2016-01-08,2262
2016-01-09,1867
2016-01-10,1898
2016-01-11,1824
2016-01-12,1767
2016-01-13,1885
2016-01-14,1732
2016-01-15,1529
2016-01-16,1508
2016-01-17,1723
2016-01-18,1677
2016-01-19,1670
2016-01-20,1626
2016-01-21,1591
2016-01-22,1837
2016-01-23,1555
2016-01-24,1368
2016-01-25,1467
2016-01-26,1609
2016-01-27,1638
2016-01-28,1510
2016-01-29,1525
2016-01-30,1341
2016-01-31,1339
2016-02-01,1584
2016-02-02,1443
2016-02-03,1498
2016-02-04,1652
2016-02-05,1437
2016-02-06,1427
2016-02-07,1674
2016-02-08,2540
2016-02-09,1662
2016-02-10,1550
2016-02-11,1575
2016-02-12,1515
2016-02-13,1323
2016-02-14,1424
2016-02-15,1573
2016-02-16,1537
2016-02-17,1502
2016-02-18,1557
2016-02-19,1551
2016-02-20,1433
2016-02-21,1366
2016-02-22,1355
2016-02-23,1380
2016-02-24,3232
2016-02-25,1481
2016-02-26,1517
2016-02-27,1282
2016-02-28,1524
2016-02-29,1572
2016-03-01,1646
2016-03-02,1548
2016-03-03,1520
2016-03-04,1803
2016-03-05,1221
2016-03-06,1200
2016-03-07,1431
2016-03-08,1400
2016-03-09,1675
2016-03-10,1744
2016-03-11,1789
2016-03-12,1503
2016-03-13,1517
2016-03-14,1784
2016-03-15,1688
2016-03-16,1729
2016-03-17,1681
