Date,Friendly artificial intelligence,AI takeover,Existential risk from artificial general intelligence,OpenAI,Google DeepMind,DeepDream,Technological singularity,Deep learning,Ethics of artificial intelligence
12/20/15,47,196,,912,208,1002,1544,1673,112
12/21/15,72,217,,967,255,652,1795,2398,119
12/22/15,107,229,,4903,337,489,1860,2185,130
12/23/15,85,221,,2539,326,342,2196,1951,85
12/24/15,62,183,,1291,197,383,1573,1473,115
12/25/15,45,143,,1090,164,321,1357,1244,89
12/26/15,72,185,,1050,219,302,1584,1304,77
12/27/15,60,196,0,1163,226,374,1725,1413,84
12/28/15,55,243,,1161,250,387,1884,2038,108
12/29/15,70,216,,1044,257,354,2256,1821,104
12/30/15,61,241,,981,416,356,2199,1742,112
12/31/15,73,185,,773,292,303,1870,1346,106
1/1/16,52,230,,798,229,280,1777,1228,96
1/2/16,78,210,,848,296,316,2119,2275,136
1/3/16,96,192,,915,280,324,2221,1649,135
1/4/16,79,231,,1177,385,366,2299,2517,180
1/5/16,83,284,,1049,370,473,2484,3122,152
1/6/16,83,247,,822,320,387,2338,2570,158
1/7/16,84,293,,778,297,296,2182,2710,184
1/8/16,68,240,,775,363,351,2378,2696,164
1/9/16,52,264,,647,255,310,1827,1568,152
1/10/16,64,262,,738,224,288,2074,1652,147
1/11/16,76,270,,958,350,321,2066,2520,201
1/12/16,70,307,,912,333,366,2075,2850,169
1/13/16,62,236,,829,381,385,2109,2767,178
1/14/16,64,263,,790,327,460,2067,2573,192
1/15/16,66,267,,706,290,524,1957,2204,163
1/16/16,81,202,,643,219,292,1677,1530,117
1/17/16,58,253,,937,233,338,1909,1727,144
1/18/16,77,280,,1463,301,480,2132,2495,193
1/19/16,65,330,,1027,306,434,2195,2687,201
1/20/16,78,330,,791,317,389,2162,3869,197
1/21/16,69,283,,786,341,345,2181,2636,226
1/22/16,61,240,,709,284,432,2097,4772,168
1/23/16,78,224,,647,252,377,1736,4543,143
1/24/16,66,269,,636,270,410,1984,3361,139
1/25/16,75,285,,674,343,419,2195,4791,189
1/26/16,90,306,,668,386,741,2486,4478,192
1/27/16,111,363,,670,2294,492,2330,4589,379
1/28/16,149,376,,748,9977,494,2543,7405,994
1/29/16,91,303,,722,6194,435,2159,4810,574
1/30/16,79,230,,870,3348,329,1688,3483,304
1/31/16,76,252,,1048,2266,375,1985,3145,252
2/1/16,92,261,,1098,2904,541,2276,4465,378
2/2/16,81,293,,1063,1935,501,2098,3992,294
2/3/16,83,279,,1188,1843,509,2309,3747,269
2/4/16,84,268,,1257,1625,415,2240,3893,277
2/5/16,89,216,,1047,944,367,2052,3220,186
2/6/16,75,176,,1036,729,284,1642,2132,129
2/7/16,54,271,,941,670,299,1827,2096,163
2/8/16,80,274,,850,737,383,2006,2738,267
2/9/16,68,292,,812,645,404,2081,2779,239
2/10/16,70,295,,836,686,398,2137,3084,262
2/11/16,60,259,,839,567,408,2246,3008,256
2/12/16,62,217,,666,481,409,2055,2668,164
2/13/16,58,227,,606,329,344,1790,1617,139
2/14/16,45,247,,554,366,326,2948,1890,143
2/15/16,46,291,,554,454,521,2376,2702,205
2/16/16,59,273,,573,688,381,2269,2884,209
2/17/16,71,315,,501,640,330,2080,2673,169
2/18/16,76,342,,546,591,333,2176,2928,187
2/19/16,79,303,,521,726,394,2046,2647,164
2/20/16,47,255,,423,406,305,1743,1724,153
2/21/16,50,246,,501,436,358,2141,1862,155
2/22/16,61,335,,559,686,424,2351,3046,210
2/23/16,73,337,,630,608,393,2327,3146,250
2/24/16,95,424,,660,747,428,2644,3226,269
2/25/16,64,381,,649,885,377,2551,3233,214
2/26/16,67,363,,531,716,523,2174,2681,236
2/27/16,56,235,,457,467,472,1824,2808,156
2/28/16,50,297,,466,535,824,2005,1963,169
2/29/16,61,430,,641,531,829,2459,2954,239
3/1/16,77,327,,544,650,725,2502,2900,237
3/2/16,75,323,,458,534,989,2828,2800,268
3/3/16,61,300,7,466,625,797,2374,2968,234
3/4/16,66,305,29,506,542,658,1980,2770,191
3/5/16,50,242,47,604,466,666,1798,1738,138
3/6/16,68,266,59,618,502,1037,1703,2136,135
3/7/16,86,358,60,523,720,1135,2266,5011,230
3/8/16,83,333,77,560,1483,1070,2359,3111,284
3/9/16,105,413,135,591,14151,1544,2877,5898,827
3/10/16,98,432,110,615,14146,2504,3108,8011,911
3/11/16,100,402,114,744,8041,1675,2935,6082,523
3/12/16,98,407,107,553,10548,1384,2682,5135,664
3/13/16,101,560,137,634,19941,1415,2689,4971,1042
3/14/16,107,637,116,618,13719,1982,2890,5480,832
3/15/16,98,624,119,541,13413,1192,2663,5718,829
3/16/16,102,505,104,499,9315,972,2477,5014,753
3/17/16,79,542,140,471,6714,912,2389,4738,550
