Date,Atomic bombings of Hiroshima and Nagasaki,Nuclear winter,Mutual assured destruction,Effects of nuclear explosions,Nuclear holocaust,World War III,Weapon of mass destruction,History of nuclear weapons,Nuclear proliferation,Nuclear weapon
12/20/15,9089,608,699,849,427,3414,664,502,278,3263
12/21/15,8432,621,764,994,445,3062,767,392,325,3183
12/22/15,8042,770,1279,1004,430,3258,634,522,343,3047
12/23/15,7646,727,713,985,383,3214,650,522,258,3296
12/24/15,8361,791,1825,989,429,2874,617,543,231,3320
12/25/15,7098,617,843,684,407,2579,499,408,177,2636
12/26/15,7641,572,619,870,408,2703,540,451,197,2958
12/27/15,7649,682,625,947,438,2892,587,466,240,3052
12/28/15,7831,749,634,966,524,3194,636,460,262,2954
12/29/15,7717,669,630,979,471,3010,625,495,278,3086
12/30/15,7202,614,641,989,410,2887,583,398,279,2763
12/31/15,6849,585,627,845,457,2609,646,381,219,2536
1/1/16,7783,563,556,925,419,2772,535,356,219,2510
1/2/16,8602,641,653,927,519,3861,637,451,271,2937
1/3/16,8344,653,748,955,557,3626,596,521,333,3132
1/4/16,8851,720,919,983,537,3961,746,580,406,3630
1/5/16,9562,695,1033,1007,550,3668,862,596,333,3884
1/6/16,24955,1046,1451,6195,752,4336,1362,2526,1001,41919
1/7/16,18128,921,1205,3406,671,3967,1070,1785,1006,18881
1/8/16,12510,739,963,1892,527,3558,1078,1046,570,8815
1/9/16,10517,648,2486,1285,502,3169,891,754,402,5860
1/10/16,11654,833,6702,1461,919,3450,788,776,463,6867
1/11/16,11409,754,1156,1379,786,3232,811,871,596,6261
1/12/16,11399,706,1009,1278,581,3233,862,782,546,5480
1/13/16,11244,816,971,1322,631,3738,770,791,467,5549
1/14/16,11130,744,943,1252,605,3452,757,708,484,5118
1/15/16,9796,626,966,1033,685,3644,760,664,379,4177
1/16/16,7857,555,763,844,610,3353,667,518,370,3709
1/17/16,9349,601,1000,1061,635,3756,735,631,505,4520
1/18/16,10883,945,891,1102,591,3799,810,1021,490,4815
1/19/16,10923,692,894,1021,653,3750,857,1043,465,4711
1/20/16,10813,687,892,1054,498,3490,833,774,515,4401
1/21/16,10989,763,956,1122,529,3647,818,824,541,4750
1/22/16,11332,702,855,916,518,3370,772,728,397,4311
1/23/16,8351,699,723,846,625,3194,667,487,340,3362
1/24/16,10150,676,769,963,587,3762,737,562,348,3631
1/25/16,11278,753,1033,1017,643,4071,816,649,437,4134
1/26/16,11030,714,1403,1044,711,3925,797,702,466,4267
1/27/16,10774,766,1410,1039,843,3700,907,662,464,4348
1/28/16,11083,659,1084,1007,630,3459,880,725,453,4964
1/29/16,9763,720,944,1087,541,3110,726,626,432,3895
1/30/16,8291,618,731,788,570,3044,575,715,313,3302
1/31/16,9686,905,729,814,544,3958,675,635,368,3600
2/1/16,10873,792,919,946,555,4395,860,792,533,4117
2/2/16,10411,659,960,908,519,3445,888,794,473,3775
2/3/16,11431,874,1221,1007,528,3849,849,745,466,4276
2/4/16,12065,675,1010,957,555,4267,822,661,402,4216
2/5/16,10385,629,823,871,453,3556,753,581,383,3795
2/6/16,8294,570,671,765,445,3267,635,519,354,3092
2/7/16,10083,656,922,1106,579,3549,703,572,354,4280
2/8/16,11120,657,1084,1065,540,3443,881,723,552,4077
2/9/16,11484,694,1154,1238,567,3318,824,804,507,4584
2/10/16,11544,649,1017,1075,499,3507,826,726,425,4476
2/11/16,10853,759,1008,967,477,3316,869,761,475,4350
2/12/16,9570,710,882,838,561,3598,746,668,399,3848
2/13/16,7823,707,1182,724,553,3959,600,526,316,3259
2/14/16,8347,763,901,934,943,4130,961,510,310,3299
2/15/16,9464,644,1047,1072,665,4681,1066,642,449,3648
2/16/16,10807,716,1093,996,563,7232,980,652,420,3912
2/17/16,10934,595,1142,1514,491,7982,937,691,522,4180
2/18/16,11298,657,1078,1732,585,8102,794,735,437,4099
2/19/16,10174,644,984,1615,608,6868,830,657,437,3840
2/20/16,7792,625,762,903,559,6539,780,555,357,3144
2/21/16,9394,638,843,1005,539,6703,761,580,412,3661
2/22/16,11699,634,1145,1143,636,7365,915,738,531,4452
2/23/16,12338,672,1031,1145,547,9919,998,751,455,4663
2/24/16,11874,622,1085,973,597,6618,1007,737,481,4311
2/25/16,12089,569,917,1005,553,4966,897,754,465,4192
2/26/16,11384,552,965,948,678,4577,791,820,394,4006
2/27/16,7769,637,888,810,646,4297,587,567,295,3173
2/28/16,11140,614,839,868,722,4009,746,548,342,3504
2/29/16,11717,669,1143,934,2119,4163,949,679,494,4244
3/1/16,12051,636,1120,964,1117,3776,981,738,488,4161
3/2/16,12303,578,1112,1002,940,4170,868,667,459,3863
3/3/16,12370,577,1094,1225,900,3964,884,690,494,4287
3/4/16,11004,598,1365,1416,827,3717,878,711,467,4819
3/5/16,7791,547,724,912,798,3375,620,551,324,3347
3/6/16,9841,624,852,906,827,3262,773,525,355,3428
3/7/16,12528,691,1310,1663,816,3883,945,711,453,4690
3/8/16,12516,588,1229,1550,679,3749,877,761,604,4487
3/9/16,12731,654,1218,1785,620,3610,1076,737,554,5218
3/10/16,12317,656,1245,1562,598,5449,936,781,514,4493
3/11/16,12351,582,970,1256,587,9001,764,687,412,3934
3/12/16,7897,509,683,1006,643,5321,565,476,298,3046
3/13/16,9942,522,812,1118,595,4635,864,505,383,3624
3/14/16,12972,563,1235,1255,677,4376,916,762,538,4539
3/15/16,13150,613,1127,1108,548,3813,876,682,460,4455
3/16/16,12268,563,1102,988,530,3495,820,687,466,4019
3/17/16,11922,530,1053,978,474,3632,864,673,484,3824
